planner,selected_score,selected_model_return,selected_true_return,samples_evaluated,first_action,selected_tail_gap,elite_model_error_mean,elite_pocket_mean,elite_disagreement_mean,elite_diversity,proposal_drift,proposal_std_mean,config,seed,optimal_true_return,optimal_first_action,repair,regret
random_shooting,5.421683009848868,5.421683009848868,-3.9745635310921728,96,-0.9868029524385904,9.396246540941041,4.096047361696658,0.2673212938399897,0.6706835957555738,0.5570042742649628,0.2841352888103345,0.5570042742649628,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.802738734998687,1.0,,11.77730226609086
static_proposal,5.9701826420460264,5.9701826420460264,5.970182642042971,96,1.0,3.055333763768431e-12,4.0147363866537,0.25896881739016864,0.706656648240315,0.6696491153802804,0.23739694634620193,0.6696491153802804,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.802738734998687,1.0,,1.8325560929557163
static_equal_budget,5.9701826420460264,5.9701826420460264,5.970182642042971,288,1.0,3.055333763768431e-12,4.906413455601552,0.3160809225407083,0.8205030539865102,0.6585590195620097,0.39162200426938265,0.6585590195620097,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 288, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.802738734998687,1.0,,1.8325560929557163
cem,5.9701826420460264,5.9701826420460264,5.970182642042971,288,1.0,3.055333763768431e-12,7.814571126730796,0.5048343024298863,1.2211638523669235,0.40840769868449434,1.0632945110130863,0.40840769868449434,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.802738734998687,1.0,none,1.8325560929557163
cem_uncertainty,6.986581316663967,7.042290010966008,7.042290010964004,288,1.0,2.0037305148434825e-12,7.841137517061725e-10,1.8970043063876468e-12,0.050037565463812286,0.2209685161260151,1.741608914047986,0.2209685161260151,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.802738734998687,1.0,uncertainty_pessimism,0.7604487240346831
cem_diversity,5.9701826420460264,5.9701826420460264,5.970182642042971,288,1.0,3.055333763768431e-12,7.814571126730796,0.5048343024298863,1.2211638523669235,0.40840769868449434,1.0632945110130863,0.40840769868449434,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.802738734998687,1.0,elite_diversity_floor,1.8325560929557163
cem_veto,6.80824396913779,6.80824396913779,6.808243969134638,288,1.0,3.1512570330960443e-12,4.926323342147044e-07,2.6337361205516556e-08,0.045693759756493826,0.20168536699323092,1.6690373982096491,0.20168536699323092,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.802738734998687,1.0,model_disagreement_veto,0.9944947658640491
cem_shadow,5.827923062890512,5.9701826420460264,5.970182642042971,288,1.0,3.055333763768431e-12,0.6139371349865892,0.036607638492511786,0.16028203152552933,0.4562616666981081,1.1887894675188002,0.4562616666981081,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.802738734998687,1.0,shadow_realism,1.8325560929557163
cem_conservative,5.9701826420460264,5.9701826420460264,5.970182642042971,288,1.0,3.055333763768431e-12,4.331449089374262,0.2749838689767688,0.7496064529641224,0.6596115342747042,0.8499935064344448,1.1873007616944675,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.802738734998687,1.0,conservative_refit_temperature,1.8325560929557163
cem_pilot_calibrated,6.670996798156679,6.670996798156679,6.670996798153032,288,1.0,3.646860591288714e-12,5.6370533574323645e-08,1.1727732517351394e-09,0.04700849289906061,0.24201977317920062,1.636335037571668,0.24201977317920062,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.802738734998687,1.0,pilot_label_calibration,1.1317419368456552
cem_combined_repair,6.2871606782416745,6.400880786687159,6.400880786686278,288,1.0,8.810729923425242e-13,1.8335029271909776e-05,2.030492175649352e-06,0.06454155624518505,0.3459373983247594,1.6565359739415306,0.5016092275709011,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 0, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",0,7.802738734998687,1.0,combined,1.4018579483124096
random_shooting,5.359979389163788,5.359979389163788,-3.720942071269117,96,-0.8319904644464506,9.080921460432904,4.852716141659792,0.31349636741623804,0.7933184562692406,0.6039726827148562,0.6160954426902094,0.6039726827148562,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.80610458579195,1.0,,11.527046657061067
static_proposal,5.035784146760007,5.035784146760007,-3.899725457633824,96,-1.0,8.93550960439383,5.907774259507123,0.3848681854847947,0.9554818482884538,0.6080935478684142,0.7504837909027833,0.6080935478684142,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.80610458579195,1.0,,11.705830043425774
static_equal_budget,5.035784146760007,5.035784146760007,-3.899725457633824,288,-1.0,8.93550960439383,3.9182743912542466,0.2534569896845036,0.669475511442769,0.6849965512282568,0.28379799488677593,0.6849965512282568,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 288, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.80610458579195,1.0,,11.705830043425774
cem,6.720559785441949,6.720559785441949,-4.683544861466096,288,-0.6885529210623765,11.404104646908046,10.6869143376741,0.6621044464719799,1.5745284635815577,0.206709656964045,1.3105214938365841,0.206709656964045,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.80610458579195,1.0,none,12.489649447258046
cem_uncertainty,5.630327787121561,5.710031153721155,5.710031153663613,288,0.8348039535422382,5.7541527098692313e-11,0.085760757383827,0.006670466953497408,0.08921513821102109,0.37728275879616735,1.5675506447197496,0.37728275879616735,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.80610458579195,1.0,uncertainty_pessimism,2.096073432128337
cem_diversity,6.720559785441949,6.720559785441949,-4.683544861466096,288,-0.6885529210623765,11.404104646908046,9.679443900882086,0.6112573974590022,1.4517128853708652,0.24037435243769548,1.2687932309699992,0.24037435243769548,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.80610458579195,1.0,elite_diversity_floor,12.489649447258046
cem_veto,5.83926006046074,5.83926006046074,5.839260059575826,288,0.555285281317087,8.849134758293076e-10,3.199534389457526e-05,4.023135488140601e-06,0.06345628340208273,0.30141565646863944,1.6551158527057765,0.30141565646863944,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.80610458579195,1.0,model_disagreement_veto,1.966844526216124
cem_shadow,5.344049554352121,6.0308577927830465,-4.932128909673666,288,-0.5552047767495211,10.962986702456712,8.769588824349745,0.5578449129811311,1.3406651303899983,0.28620143800780407,1.2721198337875463,0.28620143800780407,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.80610458579195,1.0,shadow_realism,12.738233495465616
cem_conservative,5.519608071204522,5.519608071204522,-3.650583094720565,288,-1.0,9.170191165925086,7.431830994168564,0.4825563802948592,1.1932860255807511,0.49217837017382887,1.1908263445708236,0.885921066312892,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.80610458579195,1.0,conservative_refit_temperature,11.456687680512516
cem_pilot_calibrated,7.188766265657313,7.188766265657313,7.188766265059315,288,0.6390675819046999,5.979980954862185e-10,6.855831991003924e-09,2.8516074171435722e-11,0.038542353965594064,0.17755971462362494,1.6007867417039345,0.17755971462362494,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.80610458579195,1.0,pilot_label_calibration,0.6173383207326353
cem_combined_repair,5.958384493006347,6.055357176570178,6.055357174881143,288,0.5863162008489061,1.689034689889013e-09,1.856179476789066e-09,3.010341015890924e-11,0.059439567339064824,0.3042433014377099,1.6380213296722073,0.4411527870846793,"{'horizon': 8, 'action_dim': 1, 'action_low': -1.0, 'action_high': 1.0, 'population': 96, 'elite_fraction': 0.1, 'iterations': 3, 'seed': 1, 'init_std': 0.82, 'min_std': 0.035, 'momentum': 0.0}",1,7.80610458579195,1.0,combined,1.7507474109108072
