task,seed,planner,label,iteration,best_true_return,best_model_return,best_tail_gap,best_bad_event_probability,proposal_drift,entropy,elite_bad_event_probability
FrozenLake-v1,0,cem,vanilla CEM,0,0.020418070867697456,-0.17348006646081118,-0.19389813732850864,0.9106448316934526,1.208282595917537,1.131571098145937,0.8991762229694571
FrozenLake-v1,0,cem,vanilla CEM,1,0.02858078319136086,-0.1598261895487929,-0.18840697274015378,0.9199516032823967,1.6633557608499685,0.9059832983498209,0.9154299348375459
FrozenLake-v1,0,cem,vanilla CEM,2,0.03164979743753306,-0.15358071733268633,-0.1852305147702194,0.9103230650250924,1.9461999453885912,0.7712558856217493,0.9187956267331029
FrozenLake-v1,0,cem,vanilla CEM,3,0.03380808029489634,-0.1498247594747115,-0.18363283976960784,0.9172815044379341,1.9091260748812966,0.7681871444903309,0.918488913476128
FrozenLake-v1,0,risk_gated_cem,risk-gated CEM,0,0.020418070867697456,-0.17348006646081118,-0.19389813732850864,0.9106448316934526,0.8153359597569135,1.27778445359505,0.8991762229694571
FrozenLake-v1,0,risk_gated_cem,risk-gated CEM,1,0.027547742835046612,-0.1591312488121919,-0.1866789916472385,0.924535367049212,0.9950808763177108,1.2249215239612952,0.9160858036085957
FrozenLake-v1,0,risk_gated_cem,risk-gated CEM,2,0.027547742835046612,-0.1591312488121919,-0.1866789916472385,0.924535367049212,1.1057232777427402,1.1923571404942126,0.915313479974468
FrozenLake-v1,0,risk_gated_cem,risk-gated CEM,3,0.027547742835046612,-0.1591312488121919,-0.1866789916472385,0.924535367049212,1.2177662113289833,1.158172245607082,0.9140621651530672
FrozenLake-v1,1,cem,vanilla CEM,0,0.009427198880026197,-0.20633741092614216,-0.21576460980616835,0.885838691406949,1.3212912422607668,1.0791968617440404,0.8805175195574132
FrozenLake-v1,1,cem,vanilla CEM,1,0.0242867975937122,-0.16607531221716043,-0.19036210981087262,0.9088534757386053,1.6816684862271292,0.8877365041848094,0.9094572847952814
FrozenLake-v1,1,cem,vanilla CEM,2,0.03220301030594178,-0.15392197816879025,-0.18612498847473202,0.9160395979986493,1.8493661522074407,0.8084013562397993,0.9157918439362666
FrozenLake-v1,1,cem,vanilla CEM,3,0.03449489218934935,-0.14871154088600644,-0.18320643307535578,0.9190239368057793,2.2885435631914457,0.5897527586120576,0.9150864243527401
FrozenLake-v1,1,risk_gated_cem,risk-gated CEM,0,0.009427198880026197,-0.20633741092614216,-0.21576460980616835,0.885838691406949,0.8915929657242287,1.2576163832878249,0.8805175195574132
FrozenLake-v1,1,risk_gated_cem,risk-gated CEM,1,0.019881793087097165,-0.17283882876932724,-0.1927206218564244,0.910671175163377,1.062849359189993,1.2009124354412302,0.9065097432159818
FrozenLake-v1,1,risk_gated_cem,risk-gated CEM,2,0.026185409104679553,-0.15983294476715226,-0.18601835387183183,0.9166586695418691,1.0496457489777717,1.2003628763334457,0.9113492059011885
FrozenLake-v1,1,risk_gated_cem,risk-gated CEM,3,0.03183796507984895,-0.15136101655687118,-0.18319898163672013,0.916156261936885,1.2553604072401343,1.142609157417241,0.9156860519062534
FrozenLake-v1,2,cem,vanilla CEM,0,0.029801991189990995,-0.15499231335181168,-0.18479430454180268,0.915019729377297,1.1912636811328172,1.1202433022144225,0.8973572690937368
FrozenLake-v1,2,cem,vanilla CEM,1,0.029801991189990995,-0.15499231335181168,-0.18479430454180268,0.915019729377297,1.7236417131203143,0.8759702108313282,0.9181213593481373
FrozenLake-v1,2,cem,vanilla CEM,2,0.03647441578651254,-0.14577749928966727,-0.1822519150761798,0.9146283406812804,2.078120300746566,0.6991998064565198,0.9185484998961946
FrozenLake-v1,2,cem,vanilla CEM,3,0.03628060311492717,-0.14506084400714317,-0.18134144712207034,0.9168186120378373,2.3414648582226607,0.5564742921229976,0.9171472781864156
FrozenLake-v1,2,risk_gated_cem,risk-gated CEM,0,0.029801991189990995,-0.15499231335181168,-0.18479430454180268,0.915019729377297,0.8038517810830634,1.2766210062718237,0.8973572690937368
FrozenLake-v1,2,risk_gated_cem,risk-gated CEM,1,0.029801991189990995,-0.15499231335181168,-0.18479430454180268,0.915019729377297,0.91221055638134,1.2424058286179476,0.9095712307564613
FrozenLake-v1,2,risk_gated_cem,risk-gated CEM,2,0.029801991189990995,-0.15499231335181168,-0.18479430454180268,0.915019729377297,1.01359559640808,1.210593875719469,0.913648823565447
FrozenLake-v1,2,risk_gated_cem,risk-gated CEM,3,0.029801991189990995,-0.15499231335181168,-0.18479430454180268,0.915019729377297,1.1670847342243424,1.1709899296417827,0.9128378210270652
FrozenLake-v1,3,cem,vanilla CEM,0,0.009082852094588116,-0.19699050317909236,-0.20607335527368048,0.904621585462921,1.129680176132706,1.1543279284641874,0.8868426703162828
FrozenLake-v1,3,cem,vanilla CEM,1,0.025598326060653966,-0.16637400953257261,-0.19197233559322657,0.9042283150904812,1.8438373919966478,0.8331795730780729,0.9084300985433946
FrozenLake-v1,3,cem,vanilla CEM,2,0.030319452206359697,-0.15476410363521081,-0.18508355584157052,0.9140356126079854,1.997969618259024,0.7547395915976282,0.9139605546262168
FrozenLake-v1,3,cem,vanilla CEM,3,0.03385512220547531,-0.1497973810827546,-0.1836525032882299,0.9143178640714587,2.136260757969791,0.6762672269836147,0.9160638507169924
FrozenLake-v1,3,risk_gated_cem,risk-gated CEM,0,0.009082852094588116,-0.19699050317909236,-0.20607335527368048,0.904621585462921,0.762295901420383,1.2895780309406488,0.8868426703162829
FrozenLake-v1,3,risk_gated_cem,risk-gated CEM,1,0.025598326060653966,-0.16665430405256634,-0.1922526301132203,0.9035659649895292,1.093037696037368,1.1991642386361574,0.9076567295334763
FrozenLake-v1,3,risk_gated_cem,risk-gated CEM,2,0.03380808029489634,-0.14986258117081694,-0.1836706614657133,0.9200663855442093,1.1590909090909092,1.179842802155473,0.910575209665796
FrozenLake-v1,3,risk_gated_cem,risk-gated CEM,3,0.03380808029489634,-0.14986258117081694,-0.1836706614657133,0.9200663855442093,1.2329414536380767,1.1509728523515024,0.9154610870361068
CliffWalking-v1,0,cem,vanilla CEM,0,-711.0,9.27,720.27,7.0,1.361252893515443,1.160753963684802,6.333333333333333
CliffWalking-v1,0,cem,vanilla CEM,1,-909.0,17.270000000000003,926.27,9.0,1.822955207925901,1.0008710189135828,8.222222222222221
CliffWalking-v1,0,cem,vanilla CEM,2,-1206.0,29.28000000000001,1235.28,12.0,2.3118456985391918,0.8164032677829987,10.444444444444445
CliffWalking-v1,0,cem,vanilla CEM,3,-1503.0,41.28000000000001,1544.28,15.0,2.7846100762781347,0.6072311904717325,13.11111111111111
CliffWalking-v1,0,risk_gated_cem,risk-gated CEM,0,-18.0,-18.599999999999998,-0.5999999999999979,0.0,0.8224321419419195,1.312523492605626,0.0
CliffWalking-v1,0,risk_gated_cem,risk-gated CEM,1,-18.0,-18.4,-0.3999999999999986,0.0,0.9533271445983793,1.288382135374074,0.0
CliffWalking-v1,0,risk_gated_cem,risk-gated CEM,2,-18.0,-18.399999999999995,-0.399999999999995,0.0,1.110966186600022,1.2605111340667448,0.0
CliffWalking-v1,0,risk_gated_cem,risk-gated CEM,3,-18.0,-18.15,-0.14999999999999858,0.0,1.1398809202704878,1.2439102003709683,0.0
CliffWalking-v1,1,cem,vanilla CEM,0,-810.0,13.270000000000007,823.27,8.0,1.376171178929161,1.14360566654233,7.0
CliffWalking-v1,1,cem,vanilla CEM,1,-1107.0,25.28000000000001,1132.28,11.0,2.0043468116803176,0.9329260847210532,9.555555555555555
CliffWalking-v1,1,cem,vanilla CEM,2,-1503.0,41.28000000000001,1544.28,15.0,2.6377487828625856,0.6720642912914804,13.666666666666666
CliffWalking-v1,1,cem,vanilla CEM,3,-1602.0,45.28000000000001,1647.28,16.0,2.9171133400530187,0.5501902682476207,15.0
CliffWalking-v1,1,risk_gated_cem,risk-gated CEM,0,-18.0,-18.73,-0.7300000000000004,0.0,0.7995026863335392,1.3141595969320672,0.0
CliffWalking-v1,1,risk_gated_cem,risk-gated CEM,1,-18.0,-18.73,-0.7300000000000004,0.0,0.9336179957474423,1.2932274333102958,0.0
CliffWalking-v1,1,risk_gated_cem,risk-gated CEM,2,-18.0,-18.619999999999994,-0.6199999999999939,0.0,1.0101499356837993,1.2774882485002452,0.0
CliffWalking-v1,1,risk_gated_cem,risk-gated CEM,3,-18.0,-18.49,-0.48999999999999844,0.0,0.8556750271371226,1.3041400538382002,0.0
CliffWalking-v1,2,cem,vanilla CEM,0,-909.0,17.260000000000005,926.26,9.0,1.338563756302814,1.1745517000589158,7.0
CliffWalking-v1,2,cem,vanilla CEM,1,-1107.0,25.280000000000012,1132.28,11.0,2.039690662608412,0.9400629169597635,9.666666666666666
CliffWalking-v1,2,cem,vanilla CEM,2,-1503.0,41.28000000000001,1544.28,15.0,2.531088707995643,0.7313524316045629,12.333333333333334
CliffWalking-v1,2,cem,vanilla CEM,3,-1503.0,41.28000000000001,1544.28,15.0,2.7772676506412934,0.6137788733773427,14.444444444444445
CliffWalking-v1,2,risk_gated_cem,risk-gated CEM,0,-18.0,-18.76,-0.7600000000000016,0.0,0.6592868047436495,1.335759773845972,0.0
CliffWalking-v1,2,risk_gated_cem,risk-gated CEM,1,-18.0,-18.75,-0.75,0.0,0.9484382552211514,1.284602798722024,0.0
CliffWalking-v1,2,risk_gated_cem,risk-gated CEM,2,-18.0,-18.56,-0.5599999999999987,0.0,0.9868714654179633,1.2798152273321959,0.0
CliffWalking-v1,2,risk_gated_cem,risk-gated CEM,3,-18.0,-18.309999999999995,-0.30999999999999517,0.0,1.1480085163965503,1.2468536793445495,0.0
CliffWalking-v1,3,cem,vanilla CEM,0,-711.0,9.28,720.28,7.0,1.2998687417042236,1.188795665051761,5.777777777777778
CliffWalking-v1,3,cem,vanilla CEM,1,-1008.0,21.28000000000001,1029.28,10.0,2.034679130066062,0.9263879967201719,8.444444444444445
CliffWalking-v1,3,cem,vanilla CEM,2,-1305.0,33.28000000000001,1338.28,13.0,2.582993404214435,0.6967600184165177,11.222222222222221
CliffWalking-v1,3,cem,vanilla CEM,3,-1503.0,41.28000000000001,1544.28,15.0,2.743983613662554,0.6338156695781691,13.333333333333334
CliffWalking-v1,3,risk_gated_cem,risk-gated CEM,0,-18.0,-18.569999999999997,-0.5699999999999967,0.0,0.7818644278077078,1.3130080877322396,0.0
CliffWalking-v1,3,risk_gated_cem,risk-gated CEM,1,-18.0,-18.47,-0.46999999999999886,0.0,1.1316949549566704,1.2490491305964533,0.0
CliffWalking-v1,3,risk_gated_cem,risk-gated CEM,2,-18.0,-18.43,-0.4299999999999997,0.0,1.1799592022643262,1.2389528339027134,0.0
CliffWalking-v1,3,risk_gated_cem,risk-gated CEM,3,-18.0,-18.379999999999995,-0.37999999999999545,0.0,1.115142765940645,1.2549100971435851,0.0
Taxi-v3,0,cem,vanilla CEM,0,-52.0,-15.740000000000006,36.25999999999999,4.0,1.3505583120734863,1.4355905316737658,5.333333333333333
Taxi-v3,0,cem,vanilla CEM,1,-61.0,-15.640000000000004,45.36,5.0,1.627762655965764,1.303181104046213,5.111111111111111
Taxi-v3,0,cem,vanilla CEM,2,-61.0,-15.640000000000004,45.36,5.0,1.869335404796843,1.2181402674376856,4.666666666666667
Taxi-v3,0,cem,vanilla CEM,3,-52.0,-15.630000000000003,36.37,4.0,2.1286660760533755,1.0952666620802138,3.6666666666666665
Taxi-v3,0,risk_gated_cem,risk-gated CEM,0,-25.0,-15.940000000000001,9.059999999999999,1.0,0.7806247497997999,1.6783259939088817,2.3333333333333335
Taxi-v3,0,risk_gated_cem,risk-gated CEM,1,-25.0,-15.690000000000001,9.309999999999999,1.0,0.9354143466934854,1.6428454411622297,1.2222222222222223
Taxi-v3,0,risk_gated_cem,risk-gated CEM,2,-16.0,-15.870000000000003,0.12999999999999723,0.0,1.0038986502630631,1.6144341441946057,0.5555555555555556
Taxi-v3,0,risk_gated_cem,risk-gated CEM,3,-16.0,-15.870000000000001,0.129999999999999,0.0,1.0458250331675945,1.6070821559227233,0.5555555555555556
Taxi-v3,1,cem,vanilla CEM,0,-34.0,-15.580000000000002,18.419999999999998,2.0,1.1257021751801795,1.529033225875333,5.666666666666667
Taxi-v3,1,cem,vanilla CEM,1,-79.0,-15.550000000000002,63.449999999999996,7.0,1.6336497010623308,1.2957355835337103,5.111111111111111
Taxi-v3,1,cem,vanilla CEM,2,-43.0,-15.490000000000006,27.509999999999994,3.0,1.9399010279824878,1.1704244762277565,4.444444444444445
Taxi-v3,1,cem,vanilla CEM,3,-61.0,-15.430000000000003,45.56999999999999,5.0,2.234283156254876,1.0670919215859653,4.333333333333333
Taxi-v3,1,risk_gated_cem,risk-gated CEM,0,-34.0,-15.580000000000002,18.419999999999998,2.0,0.7654655446197433,1.6850556788898345,2.5555555555555554
Taxi-v3,1,risk_gated_cem,risk-gated CEM,1,-16.0,-15.93,0.07000000000000028,0.0,0.9762812094883319,1.6314695853604144,1.2222222222222223
Taxi-v3,1,risk_gated_cem,risk-gated CEM,2,-16.0,-15.680000000000003,0.31999999999999673,0.0,0.947859430506444,1.6324080939572898,0.3333333333333333
Taxi-v3,1,risk_gated_cem,risk-gated CEM,3,-16.0,-15.660000000000004,0.3399999999999963,0.0,0.9762812094883319,1.624704285218955,0.2222222222222222
Taxi-v3,2,cem,vanilla CEM,0,-88.0,-15.640000000000002,72.36,8.0,1.2079760773494763,1.504624701141209,5.888888888888889
Taxi-v3,2,cem,vanilla CEM,1,-43.0,-15.540000000000003,27.459999999999997,3.0,1.5798767708787056,1.358645979620218,5.111111111111111
Taxi-v3,2,cem,vanilla CEM,2,-61.0,-15.420000000000005,45.58,5.0,2.078465387124094,1.0862768624921944,4.111111111111111
Taxi-v3,2,cem,vanilla CEM,3,-61.0,-15.420000000000005,45.58,5.0,2.2810572373774,0.9957493409963917,3.3333333333333335
Taxi-v3,2,risk_gated_cem,risk-gated CEM,0,-16.0,-16.03,-0.030000000000001137,0.0,0.9142961773954872,1.6510380165512144,1.6666666666666667
Taxi-v3,2,risk_gated_cem,risk-gated CEM,1,-16.0,-16.03,-0.030000000000001137,0.0,0.9960860906568267,1.625686810286198,1.0
Taxi-v3,2,risk_gated_cem,risk-gated CEM,2,-16.0,-15.800000000000002,0.1999999999999975,0.0,0.8838834764831844,1.6552825787482652,0.7777777777777778
Taxi-v3,2,risk_gated_cem,risk-gated CEM,3,-16.0,-15.680000000000001,0.3199999999999985,0.0,0.9921567416492215,1.618878332039246,0.6666666666666666
Taxi-v3,3,cem,vanilla CEM,0,-43.0,-15.660000000000002,27.339999999999996,3.0,1.0733149106666893,1.5444714778139095,7.111111111111111
Taxi-v3,3,cem,vanilla CEM,1,-61.0,-15.590000000000007,45.41,5.0,1.4923838207450488,1.3724169689075878,7.666666666666667
Taxi-v3,3,cem,vanilla CEM,2,-61.0,-15.590000000000007,45.41,5.0,1.6627723096992753,1.2903842436306452,7.222222222222222
Taxi-v3,3,cem,vanilla CEM,3,-79.0,-15.560000000000004,63.44,7.0,1.833034174328648,1.2158155041277507,7.0
Taxi-v3,3,risk_gated_cem,risk-gated CEM,0,-16.0,-15.760000000000003,0.23999999999999666,0.0,0.7500000000000001,1.6865977234659795,1.8888888888888888
Taxi-v3,3,risk_gated_cem,risk-gated CEM,1,-16.0,-15.760000000000003,0.23999999999999666,0.0,0.9185586535436919,1.6388771049070585,0.6666666666666666
Taxi-v3,3,risk_gated_cem,risk-gated CEM,2,-16.0,-15.760000000000003,0.23999999999999666,0.0,1.034559084827928,1.6092157838079242,0.2222222222222222
Taxi-v3,3,risk_gated_cem,risk-gated CEM,3,-16.0,-15.760000000000003,0.23999999999999666,0.0,0.9842509842514764,1.6224408465443132,0.3333333333333333
